starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 13 23:31:46 2024	1713076306	0	11200	11200	4776
Sat Apr 13 23:33:06 2024	1713076386	0	11219	11219	8759
Sat Apr 13 23:30:45 2024	1713076245	11	11223	11234	11096
Sat Apr 13 23:33:11 2024	1713076391	0	11251	11251	8953
Sat Apr 13 23:31:35 2024	1713076295	0	11267	11267	11173
Sat Apr 13 23:33:17 2024	1713076397	0	11273	11273	10553
Sat Apr 13 23:33:26 2024	1713076406	0	11293	11293	6763
Sat Apr 13 23:33:18 2024	1713076398	0	11294	11294	11103
Sat Apr 13 23:33:02 2024	1713076382	0	11295	11295	11107
Sat Apr 13 23:32:35 2024	1713076355	0	11364	11364	10931
Sat Apr 13 23:31:21 2024	1713076281	0	11368	11368	11351
Sat Apr 13 23:33:00 2024	1713076380	4	11375	11380	11137
Sat Apr 13 23:30:45 2024	1713076245	11	11374	11385	11128
Sat Apr 13 23:32:55 2024	1713076375	1	11395	11396	11368
Sat Apr 13 23:32:58 2024	1713076378	0	11399	11400	9235
Sat Apr 13 23:33:23 2024	1713076403	1	11458	11459	7369
Sat Apr 13 23:32:37 2024	1713076357	1	11460	11461	11319
Sat Apr 13 23:33:16 2024	1713076396	0	11464	11464	8328
Sat Apr 13 23:31:54 2024	1713076314	0	11467	11467	11439
Sat Apr 13 23:31:55 2024	1713076315	0	11472	11473	5706
Sat Apr 13 23:31:20 2024	1713076280	0	11482	11482	3412
Sat Apr 13 23:32:57 2024	1713076377	0	11487	11488	9868
Sat Apr 13 23:31:59 2024	1713076319	0	11487	11488	3875
Sat Apr 13 23:33:27 2024	1713076407	1	11491	11492	11477
Sat Apr 13 23:32:05 2024	1713076325	1	11584	11584	11097
Sat Apr 13 23:31:48 2024	1713076308	0	11626	11626	6052
Sat Apr 13 23:33:24 2024	1713076404	0	11628	11628	6765
Sat Apr 13 23:31:55 2024	1713076315	0	11662	11662	4713
Sat Apr 13 23:32:10 2024	1713076330	0	11695	11695	4722
Sat Apr 13 23:32:54 2024	1713076374	0	11707	11707	9239
Sat Apr 13 23:33:17 2024	1713076397	0	11727	11728	8500
Sat Apr 13 23:33:19 2024	1713076399	0	11756	11756	7873
Sat Apr 13 23:33:22 2024	1713076402	0	11759	11760	7935
Sat Apr 13 23:33:25 2024	1713076405	0	11770	11770	11277
Sat Apr 13 23:33:06 2024	1713076386	0	11782	11782	11738
Sat Apr 13 23:33:19 2024	1713076399	0	11823	11823	7779
Sat Apr 13 23:32:55 2024	1713076375	2	11850	11852	11399
Sat Apr 13 23:33:23 2024	1713076403	0	11882	11883	11791
Sat Apr 13 23:33:24 2024	1713076404	0	11903	11903	6748
Sat Apr 13 23:31:51 2024	1713076311	1	11932	11932	6881
Sat Apr 13 23:32:32 2024	1713076352	1	11942	11943	11910
Sat Apr 13 23:31:23 2024	1713076283	0	11947	11948	4218
Sat Apr 13 23:31:23 2024	1713076283	0	11963	11963	4470
Sat Apr 13 23:31:24 2024	1713076284	0	11978	11978	11839
Sat Apr 13 23:31:17 2024	1713076277	0	11979	11979	11951
Sat Apr 13 23:33:20 2024	1713076400	0	11983	11984	11843
Sat Apr 13 23:33:03 2024	1713076383	0	11998	11998	9782
Sat Apr 13 23:31:38 2024	1713076298	0	12003	12003	5073
Sat Apr 13 23:33:22 2024	1713076402	0	12012	12013	11844
Sat Apr 13 23:32:16 2024	1713076336	0	12044	12044	3372
Sat Apr 13 23:32:59 2024	1713076379	0	12044	12045	9518
Sat Apr 13 23:33:00 2024	1713076380	0	12056	12056	11883
Sat Apr 13 23:31:30 2024	1713076290	0	12080	12080	11655
Sat Apr 13 23:32:13 2024	1713076333	0	12083	12083	4525
Sat Apr 13 23:30:45 2024	1713076245	11	12082	12093	11472
Sat Apr 13 23:31:47 2024	1713076307	0	12118	12118	11792
Sat Apr 13 23:33:26 2024	1713076406	0	12123	12123	8130
Sat Apr 13 23:31:23 2024	1713076283	0	12172	12172	4220
Sat Apr 13 23:32:25 2024	1713076345	0	12195	12196	11923
Sat Apr 13 23:31:50 2024	1713076310	0	12199	12199	6736
Sat Apr 13 23:31:31 2024	1713076291	0	12202	12203	5277
Sat Apr 13 23:31:33 2024	1713076293	0	12230	12231	4727
Sat Apr 13 23:31:44 2024	1713076304	0	12246	12246	7212
Sat Apr 13 23:32:00 2024	1713076320	0	12260	12260	3804
Sat Apr 13 23:30:45 2024	1713076245	12	12269	12281	6982
Sat Apr 13 23:33:26 2024	1713076406	0	12285	12285	8187
